generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,22623.0,26666.308333333334,343,28,46,4,78,0.2631731938058242,49,47,145
2,22623.0,26929.241666666665,343,28,46,4,78,0.2631731938058242,49,49,147
3,22623.0,26794.866666666665,343,28,46,4,78,0.2631731938058242,52,48,152
4,22623.0,27058.341666666667,343,28,46,4,78,0.2631731938058242,48,44,140
5,22623.0,27383.725,343,28,46,4,78,0.2631731938058242,47,51,145
6,22623.0,27426.5,343,28,46,4,78,0.2631731938058242,44,51,139
7,22623.0,27417.625,343,28,46,4,78,0.2631731938058242,47,51,145
8,22623.0,27621.816666666666,343,28,46,4,78,0.2631731938058242,51,49,151
9,22623.0,27789.358333333334,343,28,46,4,78,0.2631731938058242,48,50,146
10,22623.0,27706.366666666665,343,28,46,4,78,0.2631731938058242,41,50,132
11,22623.0,27543.508333333335,343,28,46,4,78,0.2631731938058242,49,46,144
12,22623.0,27646.116666666665,343,28,46,4,78,0.2631731938058242,50,45,145
13,22623.0,27861.4,343,28,46,4,78,0.2631731938058242,47,51,145
14,22623.0,27685.958333333332,343,28,46,4,78,0.2631731938058242,52,57,161
15,22623.0,28036.633333333335,343,28,46,4,78,0.2631731938058242,47,45,139
16,22623.0,27901.725,343,28,46,4,78,0.2631731938058242,48,47,143
17,22623.0,27954.341666666667,343,28,46,4,78,0.2631731938058242,41,53,135
18,22623.0,27886.958333333332,343,28,46,4,78,0.2631731938058242,47,45,139
19,22623.0,27933.433333333334,343,28,46,4,78,0.2631731938058242,49,62,160
20,22623.0,27926.016666666666,343,28,46,4,78,0.2631731938058242,44,54,142
21,22623.0,27966.508333333335,343,28,46,4,78,0.2631731938058242,42,40,124
22,22623.0,28038.641666666666,343,28,46,4,78,0.2631731938058242,42,43,127
23,22623.0,28183.083333333332,343,28,46,4,78,0.2631731938058242,49,43,141
24,22623.0,28249.216666666667,343,28,46,4,78,0.2631731938058242,49,48,146
25,22623.0,28067.925,343,28,46,4,78,0.2631731938058242,48,51,147
26,22623.0,28330.825,343,28,46,4,78,0.2631731938058242,45,49,139
27,22623.0,28124.341666666667,343,28,46,4,78,0.2631731938058242,52,62,166
28,22623.0,28515.225,343,28,46,4,78,0.2631731938058242,53,46,152
29,22623.0,28605.0,343,28,46,4,78,0.2631731938058242,52,54,158
30,22623.0,28892.658333333333,343,28,46,4,78,0.2631731938058242,46,46,138
