generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,21429.0,26593.5,349,24,46,4,74,0.296078431372549,47,51,145
2,21429.0,26685.958333333332,349,24,46,4,74,0.296078431372549,50,45,145
3,21429.0,26825.358333333334,349,24,46,4,74,0.296078431372549,44,40,128
4,21429.0,26801.091666666667,349,24,46,4,74,0.296078431372549,51,53,155
5,21429.0,27195.616666666665,349,24,46,4,74,0.296078431372549,50,54,154
6,21429.0,27297.683333333334,349,24,46,4,74,0.296078431372549,50,43,143
7,21429.0,27625.591666666667,349,24,46,4,74,0.296078431372549,46,51,143
8,21429.0,27665.675,349,24,46,4,74,0.296078431372549,47,46,140
9,21429.0,27611.95,349,24,46,4,74,0.296078431372549,51,46,148
10,21429.0,27495.9,349,24,46,4,74,0.296078431372549,43,39,125
11,21429.0,27976.458333333332,349,24,46,4,74,0.296078431372549,47,53,147
12,21429.0,28115.766666666666,349,24,46,4,74,0.296078431372549,52,41,145
13,21429.0,28320.575,349,24,46,4,74,0.296078431372549,47,54,148
14,21429.0,28751.408333333333,349,24,46,4,74,0.296078431372549,49,57,155
15,21429.0,29332.708333333332,349,24,46,4,74,0.296078431372549,46,48,140
16,21429.0,29140.75,349,24,46,4,74,0.296078431372549,45,42,132
17,21429.0,29029.058333333334,349,24,46,4,74,0.296078431372549,49,46,144
18,21429.0,29341.508333333335,349,24,46,4,74,0.296078431372549,48,50,146
19,21429.0,29487.508333333335,349,24,46,4,74,0.296078431372549,55,53,163
20,21429.0,29533.708333333332,349,24,46,4,74,0.296078431372549,47,46,140
21,21429.0,29766.608333333334,349,24,46,4,74,0.296078431372549,47,54,148
22,21429.0,29903.241666666665,349,24,46,4,74,0.296078431372549,43,58,144
23,21429.0,30295.408333333333,349,24,46,4,74,0.296078431372549,44,44,132
24,21429.0,30189.166666666668,349,24,46,4,74,0.296078431372549,46,49,141
25,21429.0,30068.166666666668,349,24,46,4,74,0.296078431372549,44,50,138
26,21429.0,30304.691666666666,349,24,46,4,74,0.296078431372549,46,40,132
27,21429.0,30225.191666666666,349,24,46,4,74,0.296078431372549,43,37,123
28,21429.0,30363.966666666667,349,24,46,4,74,0.296078431372549,45,56,146
29,21429.0,30101.883333333335,349,24,46,4,74,0.296078431372549,48,43,139
30,21429.0,30349.366666666665,349,24,46,4,74,0.296078431372549,48,41,137
