generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,21149.0,26391.658333333333,369,20,49,4,73,0.26527422563228187,47,49,143
2,21149.0,26669.375,369,20,49,4,73,0.26527422563228187,48,44,140
3,21149.0,27217.191666666666,369,20,49,4,73,0.26527422563228187,51,40,142
4,21149.0,27152.475,369,20,49,4,73,0.26527422563228187,46,53,145
5,21149.0,27156.258333333335,369,20,49,4,73,0.26527422563228187,47,48,142
6,21149.0,27553.175,369,20,49,4,73,0.26527422563228187,42,42,126
7,21149.0,27814.375,369,20,49,4,73,0.26527422563228187,47,49,143
8,21149.0,27994.891666666666,369,20,49,4,73,0.26527422563228187,50,47,147
9,21149.0,28004.933333333334,369,20,49,4,73,0.26527422563228187,52,49,153
10,21149.0,27862.791666666668,369,20,49,4,73,0.26527422563228187,50,44,144
11,21149.0,28138.875,369,20,49,4,73,0.26527422563228187,52,49,153
12,21149.0,28522.858333333334,369,20,49,4,73,0.26527422563228187,47,46,140
13,21149.0,28873.358333333334,369,20,49,4,73,0.26527422563228187,44,48,136
14,21149.0,28718.883333333335,369,20,49,4,73,0.26527422563228187,49,36,134
15,21149.0,28673.825,369,20,49,4,73,0.26527422563228187,43,41,127
16,21149.0,28515.783333333333,369,20,49,4,73,0.26527422563228187,46,34,126
17,21149.0,28430.725,369,20,49,4,73,0.26527422563228187,48,37,133
18,21149.0,28702.091666666667,369,20,49,4,73,0.26527422563228187,48,40,136
19,21149.0,28969.083333333332,369,20,49,4,73,0.26527422563228187,50,48,148
20,21149.0,29094.816666666666,369,20,49,4,73,0.26527422563228187,51,52,154
21,21149.0,29341.183333333334,369,20,49,4,73,0.26527422563228187,47,51,145
22,21149.0,29503.008333333335,369,20,49,4,73,0.26527422563228187,50,38,138
23,21149.0,29619.533333333333,369,20,49,4,73,0.26527422563228187,45,55,145
24,21149.0,29688.866666666665,369,20,49,4,73,0.26527422563228187,47,45,139
25,21149.0,29911.875,369,20,49,4,73,0.26527422563228187,49,44,142
26,21149.0,30090.241666666665,369,20,49,4,73,0.26527422563228187,42,39,123
27,21149.0,30243.758333333335,369,20,49,4,73,0.26527422563228187,47,52,146
28,21149.0,30101.95,369,20,49,4,73,0.26527422563228187,51,41,143
29,21149.0,30196.2,369,20,49,4,73,0.26527422563228187,48,46,142
30,21149.0,30193.45,369,20,49,4,73,0.26527422563228187,47,48,142
