generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,21474.0,26895.591666666667,374,23,47,5,75,0.2793540945790081,48,48,144
2,21474.0,26922.191666666666,374,23,47,5,75,0.2793540945790081,46,54,146
3,21474.0,27121.716666666667,374,23,47,5,75,0.2793540945790081,45,53,143
4,21474.0,27312.591666666667,374,23,47,5,75,0.2793540945790081,47,49,143
5,21474.0,27430.608333333334,374,23,47,5,75,0.2793540945790081,47,53,147
6,21474.0,27517.675,374,23,47,5,75,0.2793540945790081,49,52,150
7,21474.0,27645.9,374,23,47,5,75,0.2793540945790081,47,56,150
8,21474.0,27665.6,374,23,47,5,75,0.2793540945790081,51,45,147
9,21474.0,27612.158333333333,374,23,47,5,75,0.2793540945790081,48,49,145
10,21474.0,27561.033333333333,374,23,47,5,75,0.2793540945790081,44,45,133
11,21474.0,27870.408333333333,374,23,47,5,75,0.2793540945790081,47,48,142
12,21474.0,28005.958333333332,374,23,47,5,75,0.2793540945790081,51,47,149
13,21474.0,28098.858333333334,374,23,47,5,75,0.2793540945790081,47,38,132
14,21474.0,28141.641666666666,374,23,47,5,75,0.2793540945790081,45,40,130
15,21474.0,28311.216666666667,374,23,47,5,75,0.2793540945790081,50,53,153
16,21474.0,28321.783333333333,374,23,47,5,75,0.2793540945790081,48,56,152
17,21474.0,28137.358333333334,374,23,47,5,75,0.2793540945790081,50,49,149
18,21474.0,28115.783333333333,374,23,47,5,75,0.2793540945790081,46,45,137
19,21474.0,28226.816666666666,374,23,47,5,75,0.2793540945790081,48,48,144
20,21474.0,28360.8,374,23,47,5,75,0.2793540945790081,47,51,145
21,21474.0,28328.883333333335,374,23,47,5,75,0.2793540945790081,52,52,156
22,21474.0,28272.791666666668,374,23,47,5,75,0.2793540945790081,43,56,142
23,21474.0,27872.266666666666,374,23,47,5,75,0.2793540945790081,42,54,138
24,21474.0,27838.758333333335,374,23,47,5,75,0.2793540945790081,47,50,144
25,21474.0,28129.666666666668,374,23,47,5,75,0.2793540945790081,50,48,148
26,21474.0,27798.008333333335,374,23,47,5,75,0.2793540945790081,50,48,148
27,21474.0,27833.425,374,23,47,5,75,0.2793540945790081,49,45,143
28,21474.0,27997.766666666666,374,23,47,5,75,0.2793540945790081,42,48,132
29,21474.0,28263.375,374,23,47,5,75,0.2793540945790081,48,47,143
30,21474.0,28441.825,374,23,47,5,75,0.2793540945790081,53,47,153
