generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,20690.0,27167.691666666666,390,28,39,10,77,0.2819535221496008,49,53,151
2,20690.0,27524.666666666668,390,28,39,10,77,0.2819535221496008,45,53,143
3,20690.0,27463.258333333335,390,28,39,10,77,0.2819535221496008,49,48,146
4,20690.0,27715.683333333334,390,28,39,10,77,0.2819535221496008,49,50,148
5,20690.0,27970.991666666665,390,28,39,10,77,0.2819535221496008,51,49,151
6,20690.0,28378.508333333335,390,28,39,10,77,0.2819535221496008,48,54,150
7,20690.0,28505.741666666665,390,28,39,10,77,0.2819535221496008,46,47,139
8,20690.0,28738.108333333334,390,28,39,10,77,0.2819535221496008,49,44,142
9,20690.0,29007.766666666666,390,28,39,10,77,0.2819535221496008,46,56,148
10,20690.0,28970.175,390,28,39,10,77,0.2819535221496008,47,55,149
11,20690.0,29308.383333333335,390,28,39,10,77,0.2819535221496008,48,52,148
12,20690.0,29494.383333333335,390,28,39,10,77,0.2819535221496008,45,44,134
13,20690.0,29569.041666666668,390,28,39,10,77,0.2819535221496008,46,53,145
14,20690.0,29504.1,390,28,39,10,77,0.2819535221496008,48,47,143
15,20690.0,29521.591666666667,390,28,39,10,77,0.2819535221496008,48,47,143
16,20690.0,29526.475,390,28,39,10,77,0.2819535221496008,50,46,146
17,20690.0,29779.483333333334,390,28,39,10,77,0.2819535221496008,46,51,143
18,20690.0,29759.341666666667,390,28,39,10,77,0.2819535221496008,48,42,138
19,20690.0,29566.158333333333,390,28,39,10,77,0.2819535221496008,43,59,145
20,20690.0,29696.575,390,28,39,10,77,0.2819535221496008,49,45,143
21,20690.0,30027.441666666666,390,28,39,10,77,0.2819535221496008,45,34,124
22,20690.0,30037.6,390,28,39,10,77,0.2819535221496008,43,45,131
23,20690.0,30035.275,390,28,39,10,77,0.2819535221496008,48,44,140
24,20690.0,30208.7,390,28,39,10,77,0.2819535221496008,49,43,141
25,20690.0,30182.2,390,28,39,10,77,0.2819535221496008,43,44,130
26,20690.0,30192.525,390,28,39,10,77,0.2819535221496008,47,48,142
27,20690.0,30229.691666666666,390,28,39,10,77,0.2819535221496008,43,52,138
28,20690.0,30361.091666666667,390,28,39,10,77,0.2819535221496008,49,47,145
29,20690.0,30229.975,390,28,39,10,77,0.2819535221496008,47,45,139
30,20690.0,30499.891666666666,390,28,39,10,77,0.2819535221496008,43,40,126
