generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,20577.0,27354.925,357,20,47,6,73,0.2845334212116219,43,50,136
2,20577.0,27419.108333333334,357,20,47,6,73,0.2845334212116219,48,56,152
3,20577.0,27887.891666666666,357,20,47,6,73,0.2845334212116219,43,38,124
4,20577.0,28198.75,357,20,47,6,73,0.2845334212116219,47,47,141
5,20577.0,28729.566666666666,357,20,47,6,73,0.2845334212116219,53,45,151
6,20577.0,29065.708333333332,357,20,47,6,73,0.2845334212116219,44,46,134
7,20577.0,29062.675,357,20,47,6,73,0.2845334212116219,51,45,147
8,20577.0,29262.975,357,20,47,6,73,0.2845334212116219,47,40,134
9,20577.0,29329.5,357,20,47,6,73,0.2845334212116219,43,52,138
10,20577.0,29292.625,357,20,47,6,73,0.2845334212116219,46,52,144
11,20577.0,29463.233333333334,357,20,47,6,73,0.2845334212116219,49,35,133
12,20577.0,29716.708333333332,357,20,47,6,73,0.2845334212116219,48,47,143
13,20577.0,29612.583333333332,357,20,47,6,73,0.2845334212116219,46,53,145
14,20577.0,29873.833333333332,357,20,47,6,73,0.2845334212116219,48,49,145
15,20577.0,30082.641666666666,357,20,47,6,73,0.2845334212116219,44,38,126
16,20577.0,29914.825,357,20,47,6,73,0.2845334212116219,51,48,150
17,20577.0,30030.408333333333,357,20,47,6,73,0.2845334212116219,43,51,137
18,20577.0,30095.508333333335,357,20,47,6,73,0.2845334212116219,49,49,147
19,20577.0,29879.083333333332,357,20,47,6,73,0.2845334212116219,48,49,145
20,20577.0,29580.658333333333,357,20,47,6,73,0.2845334212116219,46,48,140
21,20577.0,29382.05,357,20,47,6,73,0.2845334212116219,44,47,135
22,20577.0,29415.233333333334,357,20,47,6,73,0.2845334212116219,46,49,141
23,20577.0,29752.75,357,20,47,6,73,0.2845334212116219,54,47,155
24,20577.0,29379.95,357,20,47,6,73,0.2845334212116219,45,41,131
25,20577.0,29369.25,357,20,47,6,73,0.2845334212116219,53,45,151
26,20577.0,29547.216666666667,357,20,47,6,73,0.2845334212116219,47,53,147
27,20577.0,29796.341666666667,357,20,47,6,73,0.2845334212116219,49,40,138
28,20577.0,29765.916666666668,357,20,47,6,73,0.2845334212116219,47,41,135
29,20577.0,30018.016666666666,357,20,47,6,73,0.2845334212116219,49,47,145
30,20577.0,30317.658333333333,357,20,47,6,73,0.2845334212116219,44,45,133
