generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,21482.0,27108.833333333332,362,30,40,6,76,0.2715574866310161,47,59,153
2,21482.0,27246.15,362,30,40,6,76,0.2715574866310161,47,51,145
3,21482.0,27193.583333333332,362,30,40,6,76,0.2715574866310161,48,50,146
4,21482.0,27511.891666666666,362,30,40,6,76,0.2715574866310161,52,48,152
5,21482.0,27439.408333333333,362,30,40,6,76,0.2715574866310161,49,47,145
6,21482.0,27490.2,362,30,40,6,76,0.2715574866310161,49,43,141
7,21482.0,28074.866666666665,362,30,40,6,76,0.2715574866310161,47,52,146
8,21482.0,28466.158333333333,362,30,40,6,76,0.2715574866310161,42,51,135
9,21482.0,28594.216666666667,362,30,40,6,76,0.2715574866310161,44,42,130
10,21482.0,28970.208333333332,362,30,40,6,76,0.2715574866310161,45,49,139
11,21482.0,29089.9,362,30,40,6,76,0.2715574866310161,48,56,152
12,21482.0,28927.083333333332,362,30,40,6,76,0.2715574866310161,44,53,141
13,21482.0,29158.691666666666,362,30,40,6,76,0.2715574866310161,51,44,146
14,21482.0,29006.758333333335,362,30,40,6,76,0.2715574866310161,48,47,143
15,21482.0,29161.558333333334,362,30,40,6,76,0.2715574866310161,46,49,141
16,21482.0,29349.475,362,30,40,6,76,0.2715574866310161,44,49,137
17,21482.0,29443.116666666665,362,30,40,6,76,0.2715574866310161,46,48,140
18,21482.0,29974.716666666667,362,30,40,6,76,0.2715574866310161,47,55,149
19,21482.0,30113.483333333334,362,30,40,6,76,0.2715574866310161,45,48,138
20,21482.0,30175.075,362,30,40,6,76,0.2715574866310161,47,43,137
21,21482.0,30238.958333333332,362,30,40,6,76,0.2715574866310161,47,57,151
22,21482.0,30432.908333333333,362,30,40,6,76,0.2715574866310161,49,54,152
23,21482.0,30448.883333333335,362,30,40,6,76,0.2715574866310161,52,50,154
24,21482.0,30563.591666666667,362,30,40,6,76,0.2715574866310161,48,44,140
25,21482.0,30837.383333333335,362,30,40,6,76,0.2715574866310161,45,47,137
26,21482.0,31091.008333333335,362,30,40,6,76,0.2715574866310161,54,48,156
27,21482.0,30938.066666666666,362,30,40,6,76,0.2715574866310161,43,47,133
28,21482.0,30949.95,362,30,40,6,76,0.2715574866310161,45,56,146
29,21482.0,31233.816666666666,362,30,40,6,76,0.2715574866310161,46,49,141
30,21482.0,31300.983333333334,362,30,40,6,76,0.2715574866310161,44,49,137
