generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,21185.0,27097.65,345,26,43,7,76,0.272251448004676,52,50,154
2,21185.0,27457.275,345,26,43,7,76,0.272251448004676,45,46,136
3,21185.0,27834.116666666665,345,26,43,7,76,0.272251448004676,42,50,134
4,21185.0,27981.008333333335,345,26,43,7,76,0.272251448004676,46,40,132
5,21185.0,27942.658333333333,345,26,43,7,76,0.272251448004676,47,48,142
6,21185.0,28543.458333333332,345,26,43,7,76,0.272251448004676,50,43,143
7,21185.0,28629.75,345,26,43,7,76,0.272251448004676,47,50,144
8,21185.0,28849.766666666666,345,26,43,7,76,0.272251448004676,51,47,149
9,21185.0,28881.291666666668,345,26,43,7,76,0.272251448004676,44,55,143
10,21185.0,29154.941666666666,345,26,43,7,76,0.272251448004676,43,36,122
11,21185.0,29276.141666666666,345,26,43,7,76,0.272251448004676,46,56,148
12,21185.0,29847.766666666666,345,26,43,7,76,0.272251448004676,48,42,138
13,21185.0,30055.183333333334,345,26,43,7,76,0.272251448004676,48,48,144
14,21185.0,29817.125,345,26,43,7,76,0.272251448004676,49,45,143
15,21185.0,30018.108333333334,345,26,43,7,76,0.272251448004676,49,51,149
16,21185.0,30131.491666666665,345,26,43,7,76,0.272251448004676,51,51,153
17,21185.0,30104.133333333335,345,26,43,7,76,0.272251448004676,49,51,149
18,21185.0,30267.183333333334,345,26,43,7,76,0.272251448004676,46,45,137
19,21185.0,31008.833333333332,345,26,43,7,76,0.272251448004676,46,48,140
20,21185.0,30912.95,345,26,43,7,76,0.272251448004676,49,41,139
21,21185.0,30823.191666666666,345,26,43,7,76,0.272251448004676,55,37,147
22,21185.0,31019.316666666666,345,26,43,7,76,0.272251448004676,49,44,142
23,21185.0,31026.775,345,26,43,7,76,0.272251448004676,44,48,136
24,21185.0,31443.5,345,26,43,7,76,0.272251448004676,52,46,150
25,21185.0,31548.333333333332,345,26,43,7,76,0.272251448004676,45,42,132
26,21185.0,31636.825,345,26,43,7,76,0.272251448004676,44,43,131
27,21185.0,31830.208333333332,345,26,43,7,76,0.272251448004676,47,47,141
28,21185.0,31792.833333333332,345,26,43,7,76,0.272251448004676,48,48,144
29,21185.0,31751.9,345,26,43,7,76,0.272251448004676,50,63,163
30,21185.0,31798.025,345,26,43,7,76,0.272251448004676,42,41,125
