fitness_score,capacity_viol,seed,gini_satisfaction,alloc_csv,top1_pct,cx_ops,repair_per_op,run_id,elitism,patience,dataset_hash,conv_csv,timestamp,tag,cx_prob,top3_pct,mut_ops,mut_prob,under_cap,init_strategy,iterations,runtime_sec,total_violations,elig_viol,pop_size,avg_rank,pref_penalty,repair_calls
20874.0,27,115,0.2923298731257209,20250819T234118Z_ga_alloc_20250819T234118Z.csv,15.68627450980392,1392,1.4982104509663563,20250819T234118Z,1,30,b650cee7,convergence_ga_ga_random_20250819T234118Z.csv,2025-08-19T23:41:18Z,ga_random,0.8,43.13725490196079,1402,0.4,5,random,30,77.8397488000046,73,41,120,3.6666666666666665,374,4186
20629.0,26,116,0.2951690821256038,20250819T234236Z_ga_alloc_20250819T234236Z.csv,16.666666666666664,1419,1.5031914893617022,20250819T234236Z,1,30,b650cee7,convergence_ga_ga_random_20250819T234236Z.csv,2025-08-19T23:42:36Z,ga_random,0.8,47.05882352941176,1401,0.4,8,random,30,78.02561729997979,75,41,120,3.6176470588235294,369,4239
21740.0,27,117,0.2885787083194861,20250819T234355Z_ga_alloc_20250819T234355Z.csv,19.607843137254903,1433,1.5,20250819T234355Z,1,30,b650cee7,convergence_ga_ga_random_20250819T234355Z.csv,2025-08-19T23:43:55Z,ga_random,0.8,46.07843137254902,1433,0.4,4,random,30,79.30002719999175,75,44,120,3.5294117647058822,360,4299
20865.0,25,118,0.284594640148323,20250819T234515Z_ga_alloc_20250819T234515Z.csv,15.68627450980392,1416,1.490134994807892,20250819T234515Z,1,30,b650cee7,convergence_ga_ga_random_20250819T234515Z.csv,2025-08-19T23:45:15Z,ga_random,0.8,52.94117647058824,1473,0.4,5,random,30,79.57975309999892,73,43,120,3.57843137254902,365,4305
21263.0,24,119,0.29983413304899,20250819T234633Z_ga_alloc_20250819T234633Z.csv,11.76470588235294,1386,1.4909670563230606,20250819T234633Z,1,30,b650cee7,convergence_ga_ga_random_20250819T234633Z.csv,2025-08-19T23:46:34Z,ga_random,0.8,44.11764705882353,1437,0.4,9,random,30,78.54619729999104,78,45,120,3.7549019607843137,383,4209
20904.0,29,120,0.3122994652406416,20250819T234752Z_ga_alloc_20250819T234752Z.csv,18.62745098039216,1409,1.4950808151791988,20250819T234752Z,1,30,b650cee7,convergence_ga_ga_random_20250819T234752Z.csv,2025-08-19T23:47:52Z,ga_random,0.8,42.15686274509804,1437,0.4,6,random,30,78.57947980001336,74,39,120,3.764705882352941,384,4255
21429.0,24,121,0.296078431372549,20250819T234912Z_ga_alloc_20250819T234912Z.csv,22.54901960784314,1418,1.4978932584269662,20250819T234912Z,1,30,b650cee7,convergence_ga_ga_random_20250819T234912Z.csv,2025-08-19T23:49:12Z,ga_random,0.8,50.98039215686274,1430,0.4,4,random,30,79.6788574999955,74,46,120,3.42156862745098,349,4266
21212.0,22,122,0.2985322784084395,20250819T235035Z_ga_alloc_20250819T235035Z.csv,13.725490196078432,1413,1.5003541076487252,20250819T235035Z,1,30,b650cee7,convergence_ga_ga_random_20250819T235035Z.csv,2025-08-19T23:50:35Z,ga_random,0.8,50.0,1411,0.4,7,random,30,82.89771479999763,76,47,120,3.647058823529412,372,4237
20690.0,28,123,0.2819535221496008,20250819T235201Z_ga_alloc_20250819T235201Z.csv,11.76470588235294,1407,1.4947257383966244,20250819T235201Z,1,30,b650cee7,convergence_ga_ga_random_20250819T235201Z.csv,2025-08-19T23:52:01Z,ga_random,0.8,34.31372549019608,1437,0.4,10,random,30,86.01991999999154,77,39,120,3.823529411764706,390,4251
20652.0,27,124,0.2645975517278734,20250819T235326Z_ga_alloc_20250819T235326Z.csv,14.705882352941178,1428,1.5056657223796035,20250819T235326Z,1,30,b650cee7,convergence_ga_ga_random_20250819T235326Z.csv,2025-08-19T23:53:26Z,ga_random,0.8,54.90196078431373,1396,0.4,10,random,30,85.49626350001199,77,40,120,3.450980392156863,352,4252
22162.0,29,125,0.2992558469170802,20250819T235453Z_ga_alloc_20250819T235453Z.csv,12.745098039215684,1437,1.4987851440472058,20250819T235453Z,1,30,b650cee7,convergence_ga_ga_random_20250819T235453Z.csv,2025-08-19T23:54:53Z,ga_random,0.8,41.17647058823529,1444,0.4,9,random,30,86.63007149999612,81,43,120,3.7450980392156863,382,4318
20859.0,23,126,0.2781679836113551,20250819T235619Z_ga_alloc_20250819T235619Z.csv,10.784313725490197,1434,1.5,20250819T235619Z,1,30,b650cee7,convergence_ga_ga_random_20250819T235619Z.csv,2025-08-19T23:56:19Z,ga_random,0.8,42.15686274509804,1434,0.4,4,random,30,86.23126830000547,72,45,120,3.715686274509804,379,4302
20845.0,24,127,0.276449333120782,20250819T235747Z_ga_alloc_20250819T235747Z.csv,20.588235294117645,1447,1.4998272884283248,20250819T235747Z,1,30,b650cee7,convergence_ga_ga_random_20250819T235747Z.csv,2025-08-19T23:57:47Z,ga_random,0.8,54.90196078431373,1448,0.4,5,random,30,87.54753869998967,73,44,120,3.3823529411764706,345,4342
20000.0,22,128,0.2795952605641186,20250819T235913Z_ga_alloc_20250819T235913Z.csv,23.52941176470588,1403,1.4968130311614731,20250819T235913Z,1,30,b650cee7,convergence_ga_ga_random_20250819T235913Z.csv,2025-08-19T23:59:13Z,ga_random,0.8,53.92156862745098,1421,0.4,8,random,30,86.54941820001113,73,43,120,3.333333333333333,340,4227
21406.0,24,129,0.2823416723011042,20250820T000038Z_ga_alloc_20250820T000038Z.csv,10.784313725490197,1419,1.4911734164070614,20250820T000038Z,1,30,b650cee7,convergence_ga_ga_random_20250820T000038Z.csv,2025-08-20T00:00:38Z,ga_random,0.8,50.98039215686274,1470,0.4,2,random,30,84.95205739999074,72,46,120,3.588235294117647,366,4308
21482.0,30,130,0.2715574866310161,20250820T000202Z_ga_alloc_20250820T000202Z.csv,12.745098039215685,1409,1.4868693849343468,20250820T000202Z,1,30,b650cee7,convergence_ga_ga_random_20250820T000202Z.csv,2025-08-20T00:02:02Z,ga_random,0.8,50.0,1485,0.4,6,random,30,83.79455520000192,76,40,120,3.549019607843137,362,4303
