generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,20629.0,26378.916666666668,369,26,41,8,75,0.29516908212560383,54,53,161
2,20629.0,26980.383333333335,369,26,41,8,75,0.29516908212560383,51,51,153
3,20629.0,26680.541666666668,369,26,41,8,75,0.29516908212560383,50,48,148
4,20629.0,26826.725,369,26,41,8,75,0.29516908212560383,50,53,153
5,20629.0,26774.8,369,26,41,8,75,0.29516908212560383,54,49,157
6,20629.0,27237.758333333335,369,26,41,8,75,0.29516908212560383,51,39,141
7,20629.0,27606.075,369,26,41,8,75,0.29516908212560383,48,41,137
8,20629.0,27782.441666666666,369,26,41,8,75,0.29516908212560383,43,45,131
9,20629.0,27884.416666666668,369,26,41,8,75,0.29516908212560383,44,49,137
10,20629.0,27450.833333333332,369,26,41,8,75,0.29516908212560383,43,42,128
11,20629.0,27541.191666666666,369,26,41,8,75,0.29516908212560383,44,54,142
12,20629.0,27591.166666666668,369,26,41,8,75,0.29516908212560383,46,52,144
13,20629.0,27826.383333333335,369,26,41,8,75,0.29516908212560383,47,44,138
14,20629.0,28056.883333333335,369,26,41,8,75,0.29516908212560383,44,45,133
15,20629.0,28662.5,369,26,41,8,75,0.29516908212560383,45,46,136
16,20629.0,28702.758333333335,369,26,41,8,75,0.29516908212560383,49,51,149
17,20629.0,28876.583333333332,369,26,41,8,75,0.29516908212560383,49,44,142
18,20629.0,29189.7,369,26,41,8,75,0.29516908212560383,51,50,152
19,20629.0,29343.1,369,26,41,8,75,0.29516908212560383,47,47,141
20,20629.0,29586.716666666667,369,26,41,8,75,0.29516908212560383,45,43,133
21,20629.0,29501.775,369,26,41,8,75,0.29516908212560383,45,39,129
22,20629.0,29500.5,369,26,41,8,75,0.29516908212560383,50,43,143
23,20629.0,29653.441666666666,369,26,41,8,75,0.29516908212560383,51,42,144
24,20629.0,29897.975,369,26,41,8,75,0.29516908212560383,48,50,146
25,20629.0,29659.633333333335,369,26,41,8,75,0.29516908212560383,53,53,159
26,20629.0,29365.875,369,26,41,8,75,0.29516908212560383,47,53,147
27,20629.0,29522.866666666665,369,26,41,8,75,0.29516908212560383,41,41,123
28,20629.0,29736.175,369,26,41,8,75,0.29516908212560383,40,43,123
29,20629.0,29696.05,369,26,41,8,75,0.29516908212560383,39,45,123
30,20629.0,29872.15,369,26,41,8,75,0.29516908212560383,50,46,146
