generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,21466.0,26869.133333333335,366,28,42,5,75,0.2937795807978363,46,42,134
2,21466.0,27172.608333333334,366,28,42,5,75,0.2937795807978363,49,43,141
3,21466.0,26972.983333333334,366,28,42,5,75,0.2937795807978363,50,44,144
4,21466.0,27707.8,366,28,42,5,75,0.2937795807978363,45,53,143
5,21466.0,27451.55,366,28,42,5,75,0.2937795807978363,43,53,139
6,21466.0,27777.433333333334,366,28,42,5,75,0.2937795807978363,53,42,148
7,21466.0,28009.683333333334,366,28,42,5,75,0.2937795807978363,51,53,155
8,21466.0,28157.108333333334,366,28,42,5,75,0.2937795807978363,47,40,134
9,21466.0,28483.05,366,28,42,5,75,0.2937795807978363,47,45,139
10,21466.0,28824.708333333332,366,28,42,5,75,0.2937795807978363,47,45,139
11,21466.0,29231.2,366,28,42,5,75,0.2937795807978363,41,55,137
12,21466.0,29626.591666666667,366,28,42,5,75,0.2937795807978363,42,46,130
13,21466.0,29958.866666666665,366,28,42,5,75,0.2937795807978363,46,41,133
14,21466.0,30147.15,366,28,42,5,75,0.2937795807978363,47,44,138
15,21466.0,29897.783333333333,366,28,42,5,75,0.2937795807978363,47,60,154
16,21466.0,30231.158333333333,366,28,42,5,75,0.2937795807978363,44,55,143
17,21466.0,30363.775,366,28,42,5,75,0.2937795807978363,44,37,125
18,21466.0,30323.016666666666,366,28,42,5,75,0.2937795807978363,46,48,140
19,21466.0,30352.858333333334,366,28,42,5,75,0.2937795807978363,46,38,130
20,21466.0,30484.975,366,28,42,5,75,0.2937795807978363,43,43,129
21,21466.0,30567.95,366,28,42,5,75,0.2937795807978363,46,42,134
22,21466.0,30435.816666666666,366,28,42,5,75,0.2937795807978363,46,48,140
23,21466.0,30745.166666666668,366,28,42,5,75,0.2937795807978363,50,55,155
24,21466.0,30623.591666666667,366,28,42,5,75,0.2937795807978363,48,43,139
25,21466.0,30898.225,366,28,42,5,75,0.2937795807978363,44,53,141
26,21466.0,30898.608333333334,366,28,42,5,75,0.2937795807978363,49,49,147
27,21466.0,30517.633333333335,366,28,42,5,75,0.2937795807978363,49,56,154
28,21466.0,30672.975,366,28,42,5,75,0.2937795807978363,47,38,132
29,21466.0,30180.775,366,28,42,5,75,0.2937795807978363,42,51,135
30,21466.0,30286.041666666668,366,28,42,5,75,0.2937795807978363,43,44,130
