generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,21509.0,26783.483333333334,389,29,41,6,76,0.2971644042232277,45,42,132
2,21509.0,26982.083333333332,389,29,41,6,76,0.2971644042232277,47,52,146
3,21509.0,27154.416666666668,389,29,41,6,76,0.2971644042232277,50,50,150
4,21509.0,27206.65,389,29,41,6,76,0.2971644042232277,52,43,147
5,21509.0,27218.941666666666,389,29,41,6,76,0.2971644042232277,47,41,135
6,21509.0,27758.841666666667,389,29,41,6,76,0.2971644042232277,47,55,149
7,21509.0,27683.7,389,29,41,6,76,0.2971644042232277,43,39,125
8,21509.0,27438.341666666667,389,29,41,6,76,0.2971644042232277,51,48,150
9,21509.0,27789.891666666666,389,29,41,6,76,0.2971644042232277,48,47,143
10,21509.0,27923.616666666665,389,29,41,6,76,0.2971644042232277,51,50,152
11,21509.0,27995.45,389,29,41,6,76,0.2971644042232277,51,50,152
12,21509.0,28189.675,389,29,41,6,76,0.2971644042232277,48,47,143
13,21509.0,28314.916666666668,389,29,41,6,76,0.2971644042232277,48,45,141
14,21509.0,28018.425,389,29,41,6,76,0.2971644042232277,49,45,143
15,21509.0,28058.341666666667,389,29,41,6,76,0.2971644042232277,45,46,136
16,21509.0,28170.316666666666,389,29,41,6,76,0.2971644042232277,50,54,154
17,21509.0,27976.741666666665,389,29,41,6,76,0.2971644042232277,47,54,148
18,21509.0,27925.091666666667,389,29,41,6,76,0.2971644042232277,43,58,144
19,21509.0,27999.666666666668,389,29,41,6,76,0.2971644042232277,49,49,147
20,21509.0,28253.458333333332,389,29,41,6,76,0.2971644042232277,47,41,135
21,21509.0,28150.25,389,29,41,6,76,0.2971644042232277,46,40,132
22,21509.0,28460.0,389,29,41,6,76,0.2971644042232277,47,59,153
23,21509.0,28768.091666666667,389,29,41,6,76,0.2971644042232277,50,51,151
24,21509.0,28821.425,389,29,41,6,76,0.2971644042232277,48,56,152
25,21509.0,29002.533333333333,389,29,41,6,76,0.2971644042232277,41,44,126
26,21509.0,29056.5,389,29,41,6,76,0.2971644042232277,50,49,149
27,21509.0,29101.241666666665,389,29,41,6,76,0.2971644042232277,50,34,134
28,21509.0,29128.866666666665,389,29,41,6,76,0.2971644042232277,43,44,130
29,21509.0,29096.791666666668,389,29,41,6,76,0.2971644042232277,48,46,142
30,21509.0,28953.441666666666,389,29,41,6,76,0.2971644042232277,49,51,149
