generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,21740.0,26486.083333333332,360,27,44,4,75,0.2885787083194861,45,43,133
2,21740.0,26347.75,360,27,44,4,75,0.2885787083194861,52,39,143
3,21740.0,26313.566666666666,360,27,44,4,75,0.2885787083194861,52,51,155
4,21740.0,26514.225,360,27,44,4,75,0.2885787083194861,42,61,145
5,21740.0,26363.0,360,27,44,4,75,0.2885787083194861,52,48,152
6,21740.0,26750.875,360,27,44,4,75,0.2885787083194861,45,52,142
7,21740.0,26611.291666666668,360,27,44,4,75,0.2885787083194861,51,53,155
8,21740.0,26591.858333333334,360,27,44,4,75,0.2885787083194861,47,51,145
9,21740.0,26301.916666666668,360,27,44,4,75,0.2885787083194861,48,50,146
10,21740.0,26408.025,360,27,44,4,75,0.2885787083194861,51,53,155
11,21740.0,26290.808333333334,360,27,44,4,75,0.2885787083194861,48,43,139
12,21740.0,26591.341666666667,360,27,44,4,75,0.2885787083194861,47,44,138
13,21740.0,26686.466666666667,360,27,44,4,75,0.2885787083194861,49,49,147
14,21740.0,26725.625,360,27,44,4,75,0.2885787083194861,45,50,140
15,21740.0,26695.341666666667,360,27,44,4,75,0.2885787083194861,44,51,139
16,21740.0,26571.558333333334,360,27,44,4,75,0.2885787083194861,50,46,146
17,21740.0,26772.766666666666,360,27,44,4,75,0.2885787083194861,45,38,128
18,21740.0,26560.183333333334,360,27,44,4,75,0.2885787083194861,48,55,151
19,21740.0,26820.325,360,27,44,4,75,0.2885787083194861,47,51,145
20,21740.0,26755.958333333332,360,27,44,4,75,0.2885787083194861,46,43,135
21,21740.0,26852.541666666668,360,27,44,4,75,0.2885787083194861,52,48,152
22,21740.0,26937.441666666666,360,27,44,4,75,0.2885787083194861,52,48,152
23,21740.0,26914.333333333332,360,27,44,4,75,0.2885787083194861,45,46,136
24,21740.0,26810.925,360,27,44,4,75,0.2885787083194861,44,52,140
25,21740.0,26686.891666666666,360,27,44,4,75,0.2885787083194861,40,48,128
26,21740.0,26800.808333333334,360,27,44,4,75,0.2885787083194861,48,45,141
27,21740.0,26898.975,360,27,44,4,75,0.2885787083194861,50,47,147
28,21740.0,26811.716666666667,360,27,44,4,75,0.2885787083194861,45,43,133
29,21740.0,26727.366666666665,360,27,44,4,75,0.2885787083194861,52,41,145
30,21740.0,26909.783333333333,360,27,44,4,75,0.2885787083194861,51,44,146
