generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,21784.0,26312.025,344,30,41,7,78,0.24848966613672493,51,49,151
2,21784.0,26620.025,344,30,41,7,78,0.24848966613672493,37,51,125
3,21784.0,26806.875,344,30,41,7,78,0.24848966613672493,41,39,121
4,21784.0,27162.691666666666,344,30,41,7,78,0.24848966613672493,46,46,138
5,21784.0,27677.141666666666,344,30,41,7,78,0.24848966613672493,48,44,140
6,21784.0,28017.2,344,30,41,7,78,0.24848966613672493,45,41,131
7,21784.0,27968.458333333332,344,30,41,7,78,0.24848966613672493,45,43,133
8,21784.0,28085.85,344,30,41,7,78,0.24848966613672493,52,51,155
9,21784.0,27650.775,344,30,41,7,78,0.24848966613672493,44,45,133
10,21784.0,28062.966666666667,344,30,41,7,78,0.24848966613672493,46,48,140
11,21784.0,28499.775,344,30,41,7,78,0.24848966613672493,45,57,147
12,21784.0,28724.483333333334,344,30,41,7,78,0.24848966613672493,51,51,153
13,21784.0,28589.433333333334,344,30,41,7,78,0.24848966613672493,44,40,128
14,21784.0,28744.366666666665,344,30,41,7,78,0.24848966613672493,46,55,147
15,21784.0,28759.608333333334,344,30,41,7,78,0.24848966613672493,51,43,145
16,21784.0,28927.308333333334,344,30,41,7,78,0.24848966613672493,49,43,141
17,21784.0,29328.283333333333,344,30,41,7,78,0.24848966613672493,48,53,149
18,21784.0,29798.333333333332,344,30,41,7,78,0.24848966613672493,49,42,140
19,21784.0,30053.808333333334,344,30,41,7,78,0.24848966613672493,49,50,148
20,21784.0,30169.183333333334,344,30,41,7,78,0.24848966613672493,46,50,142
21,21784.0,30191.041666666668,344,30,41,7,78,0.24848966613672493,48,53,149
22,21784.0,30259.375,344,30,41,7,78,0.24848966613672493,49,50,148
23,21784.0,30324.166666666668,344,30,41,7,78,0.24848966613672493,51,49,151
24,21784.0,29951.666666666668,344,30,41,7,78,0.24848966613672493,44,56,144
25,21784.0,30126.316666666666,344,30,41,7,78,0.24848966613672493,49,42,140
26,21784.0,30440.541666666668,344,30,41,7,78,0.24848966613672493,49,53,151
27,21784.0,30486.55,344,30,41,7,78,0.24848966613672493,48,52,148
28,21784.0,30761.05,344,30,41,7,78,0.24848966613672493,48,52,148
29,21784.0,30891.908333333333,344,30,41,7,78,0.24848966613672493,50,53,153
30,21784.0,30643.241666666665,344,30,41,7,78,0.24848966613672493,48,49,145
