generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,20874.0,26424.858333333334,374,27,41,5,73,0.29232987312572095,43,40,126
2,20874.0,26256.633333333335,374,27,41,5,73,0.29232987312572095,45,51,141
3,20874.0,26839.583333333332,374,27,41,5,73,0.29232987312572095,46,40,132
4,20874.0,27117.65,374,27,41,5,73,0.29232987312572095,46,49,141
5,20874.0,26992.116666666665,374,27,41,5,73,0.29232987312572095,46,50,142
6,20874.0,27136.783333333333,374,27,41,5,73,0.29232987312572095,43,35,121
7,20874.0,27520.875,374,27,41,5,73,0.29232987312572095,48,53,149
8,20874.0,27857.633333333335,374,27,41,5,73,0.29232987312572095,49,36,134
9,20874.0,28125.766666666666,374,27,41,5,73,0.29232987312572095,45,46,136
10,20874.0,28057.791666666668,374,27,41,5,73,0.29232987312572095,46,46,138
11,20874.0,28031.108333333334,374,27,41,5,73,0.29232987312572095,46,52,144
12,20874.0,27997.041666666668,374,27,41,5,73,0.29232987312572095,45,46,136
13,20874.0,28562.116666666665,374,27,41,5,73,0.29232987312572095,49,39,137
14,20874.0,28675.108333333334,374,27,41,5,73,0.29232987312572095,46,52,144
15,20874.0,29064.591666666667,374,27,41,5,73,0.29232987312572095,50,49,149
16,20874.0,28841.95,374,27,41,5,73,0.29232987312572095,48,54,150
17,20874.0,29132.091666666667,374,27,41,5,73,0.29232987312572095,52,51,155
18,20874.0,29247.9,374,27,41,5,73,0.29232987312572095,46,47,139
19,20874.0,29363.483333333334,374,27,41,5,73,0.29232987312572095,49,49,147
20,20874.0,29266.3,374,27,41,5,73,0.29232987312572095,48,55,151
21,20874.0,29774.041666666668,374,27,41,5,73,0.29232987312572095,44,49,137
22,20874.0,30104.291666666668,374,27,41,5,73,0.29232987312572095,50,41,141
23,20874.0,30296.35,374,27,41,5,73,0.29232987312572095,45,48,138
24,20874.0,30449.1,374,27,41,5,73,0.29232987312572095,48,45,141
25,20874.0,30167.116666666665,374,27,41,5,73,0.29232987312572095,50,44,144
26,20874.0,30091.758333333335,374,27,41,5,73,0.29232987312572095,41,41,123
27,20874.0,30275.866666666665,374,27,41,5,73,0.29232987312572095,45,41,131
28,20874.0,30439.516666666666,374,27,41,5,73,0.29232987312572095,42,58,142
29,20874.0,30213.05,374,27,41,5,73,0.29232987312572095,43,46,132
30,20874.0,30768.158333333333,374,27,41,5,73,0.29232987312572095,48,49,145
