iter,op,fitness_score,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini
1,swap,21473.0,373,19,51,5,70,0.30484158472773304
2,swap,21473.0,373,19,51,5,70,0.30484158472773304
3,swap,21473.0,373,19,51,5,70,0.30484158472773304
4,reassign,20870.0,370,17,51,5,68,0.30283857729138175
5,reassign,20869.0,369,18,50,5,68,0.30210287013356063
6,reassign,20554.0,374,17,50,4,67,0.3057093425605538
7,reassign,20554.0,374,17,50,4,67,0.3057093425605538
8,reassign,20554.0,374,17,50,4,67,0.3057093425605538
9,reassign,20554.0,374,17,50,4,67,0.3057093425605538
10,reassign,20554.0,374,17,50,4,67,0.3057093425605538
11,swap,20258.0,378,17,49,4,66,0.30660597572362286
12,reassign,19960.0,380,16,49,4,65,0.3106140659856757
13,reassign,19657.0,377,16,48,4,64,0.30589980799441446
14,mut_micro,19657.0,377,16,48,4,64,0.30589980799441446
15,mut_micro,19657.0,377,16,48,4,64,0.30589980799441446
16,reassign,19655.0,375,16,48,4,64,0.30183931979871587
17,reassign,19354.0,374,15,48,4,63,0.3002883506343715
18,reassign,19354.0,374,15,48,4,63,0.3002883506343715
19,reassign,19354.0,374,15,48,4,63,0.3002883506343715
20,mut_micro,19354.0,374,15,48,4,63,0.3002883506343715
21,reassign,19352.0,372,15,48,4,63,0.29795894966173603
22,reassign,19352.0,372,15,48,4,63,0.29795894966173603
23,reassign,19352.0,372,15,48,4,63,0.29795894966173603
24,swap,19351.0,371,15,48,4,63,0.29826216200766015
25,swap,19052.0,372,15,47,4,62,0.2971562894163514
26,swap,19052.0,372,15,47,4,62,0.2971562894163514
27,swap,19052.0,372,15,47,4,62,0.2971562894163514
28,swap,18758.0,378,15,46,4,61,0.30578898225957063
29,swap,18758.0,378,15,46,4,61,0.30578898225957063
30,swap,18758.0,378,15,46,4,61,0.30578898225957063
31,swap,18758.0,378,15,46,4,61,0.30578898225957063
32,swap,18466.0,386,15,45,4,60,0.31079626972740315
33,swap,18172.0,392,15,44,4,59,0.3198757763975155
34,swap,18172.0,392,15,44,4,59,0.3198757763975155
35,swap,18172.0,392,15,44,4,59,0.3198757763975155
36,swap,18172.0,392,15,44,4,59,0.3198757763975155
37,reassign,18172.0,392,15,44,4,59,0.3198757763975155
38,swap,17875.0,395,15,43,4,58,0.32426701087958704
39,swap,17875.0,395,15,43,4,58,0.32426701087958704
40,swap,17875.0,395,15,43,4,58,0.32426701087958704
41,swap,17875.0,395,15,43,4,58,0.32426701087958704
42,swap,17579.0,399,15,42,4,57,0.3298786181139122
43,swap,17579.0,399,15,42,4,57,0.3298786181139122
44,swap,17579.0,399,15,42,4,57,0.3298786181139122
45,swap,17579.0,399,15,42,4,57,0.3298786181139122
46,swap,17283.0,403,15,41,4,56,0.3336170481054158
47,swap,16987.0,407,15,40,4,55,0.3364309893338443
48,swap,16987.0,407,15,40,4,55,0.3364309893338443
49,mut_micro,16963.0,403,15,40,3,55,0.3363911480991111
50,swap,16963.0,403,15,40,3,55,0.3363911480991111
51,swap,16664.0,404,15,39,3,54,0.33681214421252365
52,swap,16664.0,404,15,39,3,54,0.33681214421252365
53,swap,16664.0,404,15,39,3,54,0.33681214421252365
54,swap,16664.0,404,15,39,3,54,0.33681214421252365
55,swap,16664.0,404,15,39,3,54,0.33681214421252365
56,swap,16369.0,409,15,38,3,53,0.3391513982642237
57,swap,16369.0,409,15,38,3,53,0.3391513982642237
58,swap,16367.0,407,15,38,3,53,0.33751676566392036
59,mut_micro,16367.0,407,15,38,3,53,0.33751676566392036
60,swap,16367.0,407,15,38,3,53,0.33751676566392036
61,swap,16367.0,407,15,38,3,53,0.33751676566392036
62,swap,16365.0,405,15,38,3,53,0.33748968843200716
63,swap,16365.0,405,15,38,3,53,0.33748968843200716
64,swap,16365.0,405,15,38,3,53,0.33748968843200716
65,swap,16365.0,405,15,38,3,53,0.33748968843200716
66,swap,16365.0,405,15,38,3,53,0.33748968843200716
67,swap,16365.0,405,15,38,3,53,0.33748968843200716
68,swap,16365.0,405,15,38,3,53,0.33748968843200716
69,swap,16365.0,405,15,38,3,53,0.33748968843200716
70,swap,16365.0,405,15,38,3,53,0.33748968843200716
71,swap,16365.0,405,15,38,3,53,0.33748968843200716
72,swap,16365.0,405,15,38,3,53,0.33748968843200716
73,swap,16365.0,405,15,38,3,53,0.33748968843200716
74,swap,16365.0,405,15,38,3,53,0.33748968843200716
75,swap,16365.0,405,15,38,3,53,0.33748968843200716
76,swap,16068.0,408,15,37,3,52,0.3414712290144817
77,mut_micro,16066.0,406,16,36,3,52,0.33976317799847205
78,swap,16066.0,406,16,36,3,52,0.33976317799847205
79,swap,16066.0,406,16,36,3,52,0.33976317799847205
80,reassign,16066.0,406,16,36,3,52,0.33976317799847205
81,swap,16066.0,406,16,36,3,52,0.33976317799847205
82,swap,16066.0,406,16,36,3,52,0.33976317799847205
83,swap,16066.0,406,16,36,3,52,0.33976317799847205
84,swap,16066.0,406,16,36,3,52,0.33976317799847205
85,swap,16066.0,406,16,36,3,52,0.33976317799847205
86,swap,16066.0,406,16,36,3,52,0.33976317799847205
87,swap,16066.0,406,16,36,3,52,0.33976317799847205
88,swap,15767.0,407,16,35,3,51,0.341987609375998
89,swap,15471.0,411,16,34,3,50,0.34553161198472787
90,swap,15471.0,411,16,34,3,50,0.34553161198472787
91,reassign,15466.0,406,17,33,3,50,0.34320091673032843
92,swap,15466.0,406,17,33,3,50,0.34320091673032843
93,swap,15466.0,406,17,33,3,50,0.34320091673032843
94,swap,15466.0,406,17,33,3,50,0.34320091673032843
95,swap,15466.0,406,17,33,3,50,0.34320091673032843
