iter,op,fitness_score,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini
1,swap,29583.0,363,34,63,6,97,0.27531981453550086
2,reassign,29583.0,363,34,63,6,97,0.27531981453550086
3,mut_micro,29548.0,368,33,64,4,97,0.2788167290037402
4,mut_micro,29548.0,368,33,64,4,97,0.2788167290037402
5,swap,29548.0,368,33,64,4,97,0.2788167290037402
6,swap,29548.0,368,33,64,4,97,0.2788167290037402
7,swap,29548.0,368,33,64,4,97,0.2788167290037402
8,swap,29251.0,371,33,63,4,96,0.2859143657462984
9,swap,29251.0,371,33,63,4,96,0.2859143657462984
10,swap,28958.0,378,33,62,4,95,0.29347572362278257
11,swap,28958.0,378,33,62,4,95,0.29347572362278257
12,mut_micro,28958.0,378,33,62,4,95,0.29347572362278257
13,swap,28958.0,378,33,62,4,95,0.29347572362278257
14,reassign,28354.0,374,32,61,4,93,0.2889850057670129
15,reassign,27750.0,370,31,60,4,91,0.28824669402644787
16,reassign,27750.0,370,31,60,4,91,0.28824669402644787
17,mut_micro,27748.0,368,31,60,4,91,0.2858438172957044
18,swap,27450.0,370,31,59,4,90,0.2901276789785682
19,swap,27154.0,374,31,58,4,89,0.29757785467128034
20,swap,27154.0,374,31,58,4,89,0.29757785467128034
21,swap,27154.0,374,31,58,4,89,0.29757785467128034
22,swap,27154.0,374,31,58,4,89,0.29757785467128034
23,swap,27154.0,374,31,58,4,89,0.29757785467128034
24,swap,27154.0,374,31,58,4,89,0.29757785467128034
25,swap,26857.0,377,31,57,4,88,0.3041543026706232
26,swap,26857.0,377,31,57,4,88,0.3041543026706232
27,swap,26857.0,377,31,57,4,88,0.3041543026706232
28,swap,26857.0,377,31,57,4,88,0.3041543026706232
29,swap,26857.0,377,31,57,4,88,0.3041543026706232
30,swap,26857.0,377,31,57,4,88,0.3041543026706232
31,swap,26857.0,377,31,57,4,88,0.3041543026706232
32,swap,26857.0,377,31,57,4,88,0.3041543026706232
33,swap,26857.0,377,31,57,4,88,0.3041543026706232
34,swap,26857.0,377,31,57,4,88,0.3041543026706232
35,swap,26857.0,377,31,57,4,88,0.3041543026706232
36,reassign,26857.0,377,31,57,4,88,0.3041543026706232
37,swap,26857.0,377,31,57,4,88,0.3041543026706232
38,swap,26856.0,376,31,57,4,88,0.30073094326488004
39,swap,26856.0,376,31,57,4,88,0.30073094326488004
40,swap,26856.0,376,31,57,4,88,0.30073094326488004
41,swap,26856.0,376,31,57,4,88,0.30073094326488004
42,swap,26563.0,383,31,56,4,87,0.30421775961139746
43,reassign,26563.0,383,31,56,4,87,0.30421775961139746
44,swap,26563.0,383,31,56,4,87,0.30421775961139746
45,swap,26563.0,383,31,56,4,87,0.30421775961139746
46,swap,26563.0,383,31,56,4,87,0.30421775961139746
47,swap,26270.0,390,31,55,4,86,0.3112442507867344
48,swap,25972.0,392,31,54,4,85,0.3152478382657411
49,swap,25972.0,392,31,54,4,85,0.3152478382657411
50,swap,25676.0,396,31,53,4,84,0.31736342335676404
51,reassign,25676.0,396,31,53,4,84,0.31736342335676404
52,swap,25676.0,396,31,53,4,84,0.31736342335676404
53,swap,25377.0,397,31,52,4,83,0.3226015958433847
54,swap,25377.0,397,31,52,4,83,0.3226015958433847
55,swap,25377.0,397,31,52,4,83,0.3226015958433847
56,swap,25377.0,397,31,52,4,83,0.3226015958433847
57,swap,25377.0,397,31,52,4,83,0.3226015958433847
58,swap,25377.0,397,31,52,4,83,0.3226015958433847
59,swap,25376.0,396,31,52,4,83,0.3266124059686768
60,swap,25081.0,401,31,51,4,82,0.33104679571509105
61,swap,24785.0,405,31,50,4,81,0.33476108890158
62,swap,24780.0,400,31,50,4,81,0.3322717622080679
63,swap,24780.0,400,31,50,4,81,0.3322717622080679
64,swap,24483.0,403,31,49,4,80,0.3364541958262405
65,swap,24480.0,400,31,49,4,80,0.3322717622080679
66,swap,24480.0,400,31,49,4,80,0.3322717622080679
67,swap,24480.0,400,31,49,4,80,0.3322717622080679
68,swap,24480.0,400,31,49,4,80,0.3322717622080679
69,swap,24480.0,400,31,49,4,80,0.3322717622080679
70,swap,24178.0,398,31,48,4,79,0.332836932241251
71,swap,24178.0,398,31,48,4,79,0.332836932241251
72,swap,24178.0,398,31,48,4,79,0.332836932241251
73,swap,24178.0,398,31,48,4,79,0.332836932241251
74,swap,24178.0,398,31,48,4,79,0.332836932241251
75,swap,24178.0,398,31,48,4,79,0.332836932241251
76,swap,23884.0,404,31,47,4,78,0.33757115749525607
77,swap,23593.0,413,31,46,4,77,0.34339782424597753
78,swap,23593.0,413,31,46,4,77,0.34339782424597753
79,swap,23593.0,413,31,46,4,77,0.34339782424597753
80,swap,23593.0,413,31,46,4,77,0.34339782424597753
81,swap,23591.0,411,31,46,4,77,0.34145473370866486
82,swap,23591.0,411,31,46,4,77,0.34145473370866486
83,swap,23591.0,411,31,46,4,77,0.34145473370866486
84,swap,23293.0,413,31,45,4,76,0.3449612403100775
85,swap,23292.0,412,31,45,4,76,0.3429424750032463
86,swap,23292.0,412,31,45,4,76,0.3429424750032463
87,swap,23291.0,411,31,45,4,76,0.3434608166699023
88,swap,23291.0,411,31,45,4,76,0.3434608166699023
89,swap,23291.0,411,31,45,4,76,0.3434608166699023
90,swap,23291.0,411,31,45,4,76,0.3434608166699023
91,swap,23290.0,410,31,45,4,76,0.3413957688338492
92,reassign,23290.0,410,31,45,4,76,0.3413957688338492
93,reassign,23290.0,410,31,45,4,76,0.3413957688338492
94,swap,22998.0,418,31,44,4,75,0.3481054583995761
95,swap,22704.0,424,31,43,4,74,0.3544962812711291
96,swap,22704.0,424,31,43,4,74,0.3544962812711291
97,swap,22704.0,424,31,43,4,74,0.3544962812711291
98,swap,22704.0,424,31,43,4,74,0.3544962812711291
99,swap,22704.0,424,31,43,4,74,0.3544962812711291
100,swap,22704.0,424,31,43,4,74,0.3544962812711291
101,swap,22704.0,424,31,43,4,74,0.3544962812711291
102,reassign,22403.0,423,31,42,4,73,0.3541203422949936
103,swap,22403.0,423,31,42,4,73,0.3541203422949936
104,swap,22403.0,423,31,42,4,73,0.3541203422949936
105,swap,22403.0,423,31,42,4,73,0.3541203422949936
106,swap,22403.0,423,31,42,4,73,0.3541203422949936
107,swap,22403.0,423,31,42,4,73,0.3541203422949936
108,swap,22403.0,423,31,42,4,73,0.3541203422949936
109,swap,22403.0,423,31,42,4,73,0.3541203422949936
110,swap,22402.0,422,31,42,4,73,0.3579774375503626
111,swap,22109.0,429,31,41,4,72,0.3626762985896113
112,swap,22109.0,429,31,41,4,72,0.3626762985896113
113,swap,22109.0,429,31,41,4,72,0.3626762985896113
114,swap,22109.0,429,31,41,4,72,0.3626762985896113
115,swap,22109.0,429,31,41,4,72,0.3626762985896113
116,swap,22109.0,429,31,41,4,72,0.3626762985896113
117,swap,22109.0,429,31,41,4,72,0.3626762985896113
118,swap,22109.0,429,31,41,4,72,0.3626762985896113
119,swap,22109.0,429,31,41,4,72,0.3626762985896113
120,swap,22109.0,429,31,41,4,72,0.3626762985896113
121,swap,21819.0,439,31,40,4,71,0.36488413547237075
122,swap,21819.0,439,31,40,4,71,0.36488413547237075
123,swap,21819.0,439,31,40,4,71,0.36488413547237075
124,swap,21819.0,439,31,40,4,71,0.36488413547237075
125,swap,21819.0,439,31,40,4,71,0.36488413547237075
126,swap,21819.0,439,31,40,4,71,0.36488413547237075
127,swap,21819.0,439,31,40,4,71,0.36488413547237075
128,swap,21521.0,441,31,39,4,70,0.36770092652445596
129,swap,21521.0,441,31,39,4,70,0.36770092652445596
130,swap,21220.0,440,31,38,4,69,0.36596536424788884
131,swap,21220.0,440,31,38,4,69,0.36596536424788884
132,swap,21220.0,440,31,38,4,69,0.36596536424788884
133,swap,21220.0,440,31,38,4,69,0.36596536424788884
134,swap,21220.0,440,31,38,4,69,0.36596536424788884
135,swap,21220.0,440,31,38,4,69,0.36596536424788884
136,swap,21220.0,440,31,38,4,69,0.36596536424788884
137,swap,21220.0,440,31,38,4,69,0.36596536424788884
138,swap,21217.0,437,31,38,4,69,0.36536419622000427
139,swap,21217.0,437,31,38,4,69,0.36536419622000427
140,mut_micro,20616.0,436,29,38,4,67,0.3642262660459867
141,mut_micro,20616.0,436,29,38,4,67,0.3642262660459867
142,swap,20616.0,436,29,38,4,67,0.3642262660459867
143,swap,20616.0,436,29,38,4,67,0.3642262660459867
144,swap,20616.0,436,29,38,4,67,0.3642262660459867
145,mut_micro,20616.0,436,29,38,4,67,0.3642262660459867
146,swap,20616.0,436,29,38,4,67,0.3642262660459867
147,mut_micro,20616.0,436,29,38,4,67,0.3642262660459867
148,swap,20616.0,436,29,38,4,67,0.3642262660459867
149,swap,20616.0,436,29,38,4,67,0.3642262660459867
150,swap,20615.0,435,29,38,4,67,0.3649237472766885
151,swap,20615.0,435,29,38,4,67,0.3649237472766885
152,reassign,20615.0,435,29,38,4,67,0.3649237472766885
153,swap,20615.0,435,29,38,4,67,0.3649237472766885
154,swap,20615.0,435,29,38,4,67,0.3649237472766885
155,swap,20615.0,435,29,38,4,67,0.3649237472766885
156,mut_micro,20273.0,433,28,38,2,66,0.36518735608122244
157,mut_micro,20273.0,433,28,38,2,66,0.36518735608122244
158,swap,20273.0,433,28,38,2,66,0.36518735608122244
159,swap,20273.0,433,28,38,2,66,0.36518735608122244
160,swap,20273.0,433,28,38,2,66,0.36518735608122244
161,swap,20273.0,433,28,38,2,66,0.36518735608122244
162,swap,19982.0,442,28,37,2,65,0.36858419838523643
163,swap,19982.0,442,28,37,2,65,0.36858419838523643
164,swap,19982.0,442,28,37,2,65,0.36858419838523643
165,swap,19982.0,442,28,37,2,65,0.36858419838523643
166,swap,19982.0,442,28,37,2,65,0.36858419838523643
167,swap,19982.0,442,28,37,2,65,0.36858419838523643
168,swap,19982.0,442,28,37,2,65,0.36858419838523643
169,swap,19982.0,442,28,37,2,65,0.36858419838523643
170,swap,19685.0,445,28,36,2,64,0.371492091260296
171,swap,19685.0,445,28,36,2,64,0.371492091260296
172,swap,19685.0,445,28,36,2,64,0.371492091260296
173,mut_micro,19685.0,445,28,36,2,64,0.371492091260296
