iter,op,fitness_score,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini
1,swap,23607.0,367,35,42,7,77,0.2918291235802679
2,swap,23607.0,367,35,42,7,77,0.2918291235802679
3,reassign,23266.0,366,34,42,5,76,0.29000450755014634
4,reassign,22965.0,365,33,42,5,75,0.28751615259284236
5,reassign,22965.0,365,33,42,5,75,0.28751615259284236
6,reassign,22965.0,365,33,42,5,75,0.28751615259284236
7,reassign,22366.0,366,31,42,5,73,0.2880324543610546
8,reassign,22366.0,366,31,42,5,73,0.2880324543610546
9,mut_micro,22366.0,366,31,42,5,73,0.2880324543610546
10,mut_micro,22362.0,362,31,42,5,73,0.2831439393939395
11,mut_micro,22362.0,362,31,42,5,73,0.2831439393939395
12,swap,22362.0,362,31,42,5,73,0.2831439393939395
13,swap,22362.0,362,31,42,5,73,0.2831439393939395
14,swap,22362.0,362,31,42,5,73,0.2831439393939395
15,swap,22362.0,362,31,42,5,73,0.2831439393939395
16,swap,22069.0,369,31,41,5,72,0.2911338448422846
17,swap,22069.0,369,31,41,5,72,0.2911338448422846
18,swap,21776.0,376,31,40,5,71,0.29881656804733736
19,swap,21776.0,376,31,40,5,71,0.29881656804733736
20,swap,21776.0,376,31,40,5,71,0.29881656804733736
21,swap,21776.0,376,31,40,5,71,0.29881656804733736
22,swap,21776.0,376,31,40,5,71,0.29881656804733736
23,swap,21776.0,376,31,40,5,71,0.29881656804733736
24,swap,21776.0,376,31,40,5,71,0.29881656804733736
25,swap,21776.0,376,31,40,5,71,0.29881656804733736
26,swap,21776.0,376,31,40,5,71,0.29881656804733736
27,swap,21776.0,376,31,40,5,71,0.29881656804733736
28,swap,21776.0,376,31,40,5,71,0.29881656804733736
29,swap,21776.0,376,31,40,5,71,0.29881656804733736
30,swap,21773.0,373,31,40,5,71,0.29656143982519695
31,swap,21479.0,379,31,39,5,70,0.3053848405033656
32,swap,21179.0,379,31,38,5,69,0.3053848405033656
33,swap,21179.0,379,31,38,5,69,0.3053848405033656
34,swap,21179.0,379,31,38,5,69,0.3053848405033656
35,swap,21179.0,379,31,38,5,69,0.3053848405033656
36,swap,21179.0,379,31,38,5,69,0.3053848405033656
37,swap,20888.0,388,31,37,5,68,0.3129435823409118
38,swap,20888.0,388,31,37,5,68,0.3129435823409118
39,swap,20593.0,393,31,36,5,67,0.3157717915826767
40,swap,20593.0,393,31,36,5,67,0.3157717915826767
41,swap,20593.0,393,31,36,5,67,0.3157717915826767
42,swap,20299.0,399,31,35,5,66,0.32377840024898846
43,swap,20299.0,399,31,35,5,66,0.32377840024898846
44,swap,20299.0,399,31,35,5,66,0.32377840024898846
45,swap,20299.0,399,31,35,5,66,0.32377840024898846
46,swap,20003.0,403,31,34,5,65,0.3276905617552488
47,swap,20003.0,403,31,34,5,65,0.3276905617552488
48,swap,20003.0,403,31,34,5,65,0.3276905617552488
49,swap,20003.0,403,31,34,5,65,0.3276905617552488
50,swap,19705.0,405,31,33,5,64,0.3314613871438543
51,swap,19705.0,405,31,33,5,64,0.3314613871438543
52,swap,19705.0,405,31,33,5,64,0.3314613871438543
53,swap,19705.0,405,31,33,5,64,0.3314613871438543
54,swap,19705.0,405,31,33,5,64,0.3314613871438543
55,swap,19413.0,413,31,32,5,63,0.3387075760536773
56,mut_micro,19413.0,413,31,32,5,63,0.3387075760536773
57,swap,19413.0,413,31,32,5,63,0.3387075760536773
58,swap,19413.0,413,31,32,5,63,0.3387075760536773
59,swap,18817.0,417,31,30,5,61,0.3420809401201558
60,swap,18814.0,414,31,30,5,61,0.3408496732026145
61,swap,18814.0,414,31,30,5,61,0.3408496732026145
62,swap,18814.0,414,31,30,5,61,0.3408496732026145
63,swap,18814.0,414,31,30,5,61,0.3408496732026145
64,swap,18813.0,413,31,30,5,61,0.34300697022995247
65,swap,18811.0,411,31,30,5,61,0.34469035138807996
66,swap,18513.0,413,31,29,5,60,0.3481532147742818
67,swap,18513.0,413,31,29,5,60,0.3481532147742818
68,swap,18217.0,417,31,28,5,59,0.3537664223938734
69,swap,18217.0,417,31,28,5,59,0.3537664223938734
70,swap,18217.0,417,31,28,5,59,0.3537664223938734
71,swap,18217.0,417,31,28,5,59,0.3537664223938734
72,swap,18217.0,417,31,28,5,59,0.3537664223938734
73,swap,18217.0,417,31,28,5,59,0.3537664223938734
74,swap,18217.0,417,31,28,5,59,0.3537664223938734
75,swap,18217.0,417,31,28,5,59,0.3537664223938734
76,swap,18217.0,417,31,28,5,59,0.3537664223938734
77,mut_micro,18217.0,417,31,28,5,59,0.3537664223938734
78,swap,18217.0,417,31,28,5,59,0.3537664223938734
79,swap,18217.0,417,31,28,5,59,0.3537664223938734
80,swap,18217.0,417,31,28,5,59,0.3537664223938734
81,swap,18217.0,417,31,28,5,59,0.3537664223938734
82,swap,18217.0,417,31,28,5,59,0.3537664223938734
83,swap,18217.0,417,31,28,5,59,0.3537664223938734
84,swap,18217.0,417,31,28,5,59,0.3537664223938734
85,swap,18217.0,417,31,28,5,59,0.3537664223938734
86,swap,18217.0,417,31,28,5,59,0.3537664223938734
87,swap,18217.0,417,31,28,5,59,0.3537664223938734
88,swap,18217.0,417,31,28,5,59,0.3537664223938734
89,swap,18217.0,417,31,28,5,59,0.3537664223938734
90,reassign,18217.0,417,31,28,5,59,0.3537664223938734
91,swap,18217.0,417,31,28,5,59,0.3537664223938734
92,swap,18217.0,417,31,28,5,59,0.3537664223938734
93,swap,18217.0,417,31,28,5,59,0.3537664223938734
94,swap,17925.0,425,31,27,5,58,0.36016690413189495
95,swap,17634.0,434,31,26,5,57,0.36435574229691875
96,swap,17339.0,439,31,25,5,56,0.3653119429590018
97,swap,17339.0,439,31,25,5,56,0.3653119429590018
98,swap,17339.0,439,31,25,5,56,0.3653119429590018
99,swap,17339.0,439,31,25,5,56,0.3653119429590018
100,swap,17339.0,439,31,25,5,56,0.3653119429590018
101,swap,17339.0,439,31,25,5,56,0.3653119429590018
102,swap,17339.0,439,31,25,5,56,0.3653119429590018
103,swap,17042.0,442,31,24,5,55,0.3698817762399078
104,swap,17042.0,442,31,24,5,55,0.3698817762399078
105,swap,17042.0,442,31,24,5,55,0.3698817762399078
106,swap,17042.0,442,31,24,5,55,0.3698817762399078
107,swap,17042.0,442,31,24,5,55,0.3698817762399078
108,swap,17042.0,442,31,24,5,55,0.3698817762399078
109,swap,17042.0,442,31,24,5,55,0.3698817762399078
110,swap,17042.0,442,31,24,5,55,0.3698817762399078
111,swap,17042.0,442,31,24,5,55,0.3698817762399078
112,swap,17042.0,442,31,24,5,55,0.3698817762399078
113,swap,17042.0,442,31,24,5,55,0.3698817762399078
114,swap,17042.0,442,31,24,5,55,0.3698817762399078
115,swap,17042.0,442,31,24,5,55,0.3698817762399078
116,swap,17042.0,442,31,24,5,55,0.3698817762399078
117,swap,17042.0,442,31,24,5,55,0.3698817762399078
118,swap,17042.0,442,31,24,5,55,0.3698817762399078
119,swap,17042.0,442,31,24,5,55,0.3698817762399078
120,swap,17038.0,438,31,24,5,55,0.3675049730036942
121,swap,17038.0,438,31,24,5,55,0.3675049730036942
122,swap,16745.0,445,31,23,5,54,0.37258546541293086
123,swap,16745.0,445,31,23,5,54,0.37258546541293086
124,swap,16745.0,445,31,23,5,54,0.37258546541293086
125,swap,16745.0,445,31,23,5,54,0.37258546541293086
126,swap,16745.0,445,31,23,5,54,0.37258546541293086
127,swap,16745.0,445,31,23,5,54,0.37258546541293086
128,swap,16745.0,445,31,23,5,54,0.37258546541293086
129,swap,16741.0,441,31,23,5,54,0.37035839977016444
130,swap,16741.0,441,31,23,5,54,0.37035839977016444
131,swap,16741.0,441,31,23,5,54,0.37035839977016444
132,swap,16741.0,441,31,23,5,54,0.37035839977016444
133,swap,16741.0,441,31,23,5,54,0.37035839977016444
134,swap,16741.0,441,31,23,5,54,0.37035839977016444
135,swap,16741.0,441,31,23,5,54,0.37035839977016444
136,swap,16741.0,441,31,23,5,54,0.37035839977016444
137,swap,16741.0,441,31,23,5,54,0.37035839977016444
138,swap,16741.0,441,31,23,5,54,0.37035839977016444
139,swap,16741.0,441,31,23,5,54,0.37035839977016444
140,swap,16738.0,438,31,23,5,54,0.3675049730036942
141,swap,16439.0,439,31,22,5,53,0.36916221033868096
142,swap,16439.0,439,31,22,5,53,0.36916221033868096
143,swap,16439.0,439,31,22,5,53,0.36916221033868096
144,swap,16439.0,439,31,22,5,53,0.36916221033868096
145,mut_micro,16439.0,439,31,22,5,53,0.36916221033868096
146,reassign,16416.0,436,31,22,4,53,0.3662011567216815
147,swap,16416.0,436,31,22,4,53,0.3662011567216815
148,swap,16416.0,436,31,22,4,53,0.3662011567216815
149,swap,16416.0,436,31,22,4,53,0.3662011567216815
150,swap,16416.0,436,31,22,4,53,0.3662011567216815
151,swap,16415.0,435,31,22,4,53,0.36450207323072603
152,swap,16415.0,435,31,22,4,53,0.36450207323072603
153,swap,16415.0,435,31,22,4,53,0.36450207323072603
154,swap,16415.0,435,31,22,4,53,0.36450207323072603
155,swap,16415.0,435,31,22,4,53,0.36450207323072603
156,swap,16415.0,435,31,22,4,53,0.36450207323072603
157,swap,16112.0,432,31,21,4,52,0.3628841607565012
158,swap,16112.0,432,31,21,4,52,0.3628841607565012
159,reassign,16112.0,432,31,21,4,52,0.3628841607565012
160,swap,16111.0,431,31,21,4,52,0.3642693826647267
161,swap,16111.0,431,31,21,4,52,0.3642693826647267
162,swap,16111.0,431,31,21,4,52,0.3642693826647267
163,swap,16111.0,431,31,21,4,52,0.3642693826647267
