iter,op,fitness_score,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini
1,swap,21511.0,351,31,39,8,70,0.27145789445254676
2,reassign,21207.0,347,29,40,8,69,0.2664689854143292
3,reassign,21185.0,345,29,40,7,69,0.2658749136510971
4,reassign,21185.0,345,29,40,7,69,0.2658749136510971
5,mut_micro,21185.0,345,29,40,7,69,0.2658749136510971
6,mut_micro,21185.0,345,29,40,7,69,0.2658749136510971
7,reassign,20886.0,346,28,40,7,68,0.2666773231031543
8,reassign,20886.0,346,28,40,7,68,0.2666773231031543
9,mut_micro,20886.0,346,28,40,7,68,0.2666773231031543
10,reassign,20884.0,344,28,40,7,68,0.26767355590885006
11,reassign,20884.0,344,28,40,7,68,0.26767355590885006
12,reassign,20884.0,344,28,40,7,68,0.26767355590885006
13,reassign,20884.0,344,28,40,7,68,0.26767355590885006
14,mut_micro,20884.0,344,28,40,7,68,0.26767355590885006
15,reassign,20884.0,344,28,40,7,68,0.26767355590885006
16,reassign,20880.0,340,28,40,7,68,0.2660165670546293
17,reassign,20578.0,338,28,39,7,67,0.265227367542762
18,reassign,20578.0,338,28,39,7,67,0.265227367542762
19,reassign,20276.0,336,26,40,7,66,0.26595082477435433
20,reassign,20276.0,336,26,40,7,66,0.26595082477435433
21,reassign,20275.0,335,25,41,7,66,0.2650680324900408
22,reassign,20275.0,335,25,41,7,66,0.2650680324900408
23,reassign,20257.0,337,25,41,6,66,0.2694388100067611
24,reassign,19962.0,342,25,40,6,65,0.27398271136411545
25,reassign,19960.0,340,24,41,6,65,0.2730418370556778
26,reassign,19960.0,340,24,41,6,65,0.2730418370556778
27,reassign,19960.0,340,24,41,6,65,0.2730418370556778
28,reassign,19356.0,336,23,40,6,63,0.2710343396617908
29,reassign,19356.0,336,23,40,6,63,0.2710343396617908
30,reassign,19057.0,337,22,40,6,62,0.2719873095126643
31,reassign,19057.0,337,22,40,6,62,0.2719873095126643
32,reassign,19054.0,334,23,39,6,62,0.26671826625386996
33,mut_micro,19054.0,334,23,39,6,62,0.26671826625386996
34,reassign,19054.0,334,23,39,6,62,0.26671826625386996
35,mut_micro,19053.0,333,22,40,6,62,0.2666100560959293
36,reassign,19053.0,333,22,40,6,62,0.2666100560959293
37,reassign,19053.0,333,22,40,6,62,0.2666100560959293
38,reassign,19053.0,333,22,40,6,62,0.2666100560959293
39,reassign,18755.0,335,21,40,6,61,0.27091417041750726
40,reassign,18754.0,334,21,40,6,61,0.2691950464396285
41,reassign,18131.0,331,19,40,5,59,0.2686991245584396
42,reassign,18131.0,331,19,40,5,59,0.2686991245584396
43,reassign,18131.0,331,19,40,5,59,0.2686991245584396
44,reassign,18131.0,331,19,40,5,59,0.2686991245584396
45,reassign,18131.0,331,19,40,5,59,0.2686991245584396
46,reassign,18131.0,331,19,40,5,59,0.2686991245584396
47,reassign,18131.0,331,19,40,5,59,0.2686991245584396
48,reassign,18131.0,331,19,40,5,59,0.2686991245584396
49,reassign,18131.0,331,19,40,5,59,0.2686991245584396
50,reassign,18131.0,331,19,40,5,59,0.2686991245584396
51,reassign,18131.0,331,19,40,5,59,0.2686991245584396
52,reassign,18131.0,331,19,40,5,59,0.2686991245584396
53,reassign,18131.0,331,19,40,5,59,0.2686991245584396
54,reassign,18131.0,331,19,40,5,59,0.2686991245584396
55,reassign,17830.0,330,18,40,5,58,0.26766748366013066
56,reassign,17830.0,330,18,40,5,58,0.26766748366013066
57,reassign,17827.0,327,18,40,5,58,0.26232456807012183
58,reassign,17812.0,332,17,41,4,58,0.2671696951031721
59,reassign,17812.0,332,17,41,4,58,0.2671696951031721
60,reassign,17812.0,332,17,41,4,58,0.2671696951031721
61,reassign,17769.0,329,16,42,2,58,0.26180290297937364
62,reassign,17769.0,329,16,42,2,58,0.26180290297937364
63,reassign,17768.0,328,16,42,2,58,0.2600325104134917
64,reassign,17768.0,328,16,42,2,58,0.2600325104134917
65,reassign,17768.0,328,16,42,2,58,0.2600325104134917
66,mut_micro,17768.0,328,16,42,2,58,0.2600325104134917
67,mut_micro,17472.0,332,14,43,2,57,0.2622420696027101
68,mut_micro,17169.0,329,14,42,2,56,0.25681181563534494
69,mut_micro,17169.0,329,14,42,2,56,0.25681181563534494
70,mut_micro,16871.0,331,14,41,2,55,0.26117339886346186
71,mut_micro,16871.0,331,14,41,2,55,0.26117339886346186
72,mut_micro,16871.0,331,14,41,2,55,0.26117339886346186
73,mut_micro,16566.0,326,13,41,2,54,0.2563674954517889
74,mut_micro,16566.0,326,13,41,2,54,0.2563674954517889
75,mut_micro,16566.0,326,13,41,2,54,0.2563674954517889
76,swap,16566.0,326,13,41,2,54,0.2563674954517889
77,mut_micro,16564.0,324,14,40,2,54,0.25344394167923584
78,mut_micro,16564.0,324,14,40,2,54,0.25344394167923584
79,mut_micro,16564.0,324,14,40,2,54,0.25344394167923584
80,mut_micro,16260.0,320,13,40,2,53,0.24778540857967538
81,mut_micro,16260.0,320,13,40,2,53,0.24778540857967538
82,mut_micro,15963.0,323,12,40,2,52,0.25332230078732254
83,mut_micro,15963.0,323,12,40,2,52,0.25332230078732254
84,mut_micro,15962.0,322,13,39,2,52,0.25150060024009585
85,mut_micro,15962.0,322,13,39,2,52,0.25150060024009585
86,mut_micro,15962.0,322,13,39,2,52,0.25150060024009585
87,mut_micro,15962.0,322,13,39,2,52,0.25150060024009585
88,mut_micro,15962.0,322,13,39,2,52,0.25150060024009585
89,mut_micro,15962.0,322,13,39,2,52,0.25150060024009585
90,mut_micro,15962.0,322,13,39,2,52,0.25150060024009585
91,swap,15962.0,322,13,39,2,52,0.25150060024009585
92,mut_micro,15962.0,322,13,39,2,52,0.25150060024009585
93,swap,15962.0,322,13,39,2,52,0.25150060024009585
94,swap,15962.0,322,13,39,2,52,0.25150060024009585
95,swap,15962.0,322,13,39,2,52,0.25150060024009585
96,swap,15962.0,322,13,39,2,52,0.25150060024009585
97,reassign,15659.0,319,13,38,2,51,0.24832464631422174
98,swap,15659.0,319,13,38,2,51,0.24832464631422174
99,swap,15659.0,319,13,38,2,51,0.24832464631422174
100,swap,15659.0,319,13,38,2,51,0.24832464631422174
101,mut_micro,15659.0,319,13,38,2,51,0.24832464631422174
102,swap,15659.0,319,13,38,2,51,0.24832464631422174
103,swap,15659.0,319,13,38,2,51,0.24832464631422174
104,mut_micro,15659.0,319,13,38,2,51,0.24832464631422174
105,mut_micro,15659.0,319,13,38,2,51,0.24832464631422174
106,swap,15659.0,319,13,38,2,51,0.24832464631422174
107,swap,15358.0,318,13,37,2,50,0.2490097048920581
108,swap,15358.0,318,13,37,2,50,0.2490097048920581
109,swap,15357.0,317,13,37,2,50,0.24781449103570885
110,mut_micro,15357.0,317,13,37,2,50,0.24781449103570885
111,swap,15357.0,317,13,37,2,50,0.24781449103570885
112,swap,15066.0,326,13,36,2,49,0.2584899939357186
113,swap,15066.0,326,13,36,2,49,0.2584899939357186
114,swap,14770.0,330,13,35,2,48,0.26639093137254904
115,swap,14770.0,330,13,35,2,48,0.26639093137254904
116,swap,14770.0,330,13,35,2,48,0.26639093137254904
117,swap,14770.0,330,13,35,2,48,0.26639093137254904
118,swap,14770.0,330,13,35,2,48,0.26639093137254904
119,swap,14770.0,330,13,35,2,48,0.26639093137254904
120,swap,14770.0,330,13,35,2,48,0.26639093137254904
121,swap,14770.0,330,13,35,2,48,0.26639093137254904
122,reassign,14468.0,328,12,35,2,47,0.26211520877781147
123,swap,14468.0,328,12,35,2,47,0.26211520877781147
124,swap,14468.0,328,12,35,2,47,0.26211520877781147
125,swap,14468.0,328,12,35,2,47,0.26211520877781147
126,swap,14468.0,328,12,35,2,47,0.26211520877781147
127,swap,14468.0,328,12,35,2,47,0.26211520877781147
128,swap,14177.0,337,12,34,2,46,0.26912674884277293
129,swap,14177.0,337,12,34,2,46,0.26912674884277293
130,swap,13883.0,343,12,33,2,45,0.2797156598488451
131,swap,13883.0,343,12,33,2,45,0.2797156598488451
132,swap,13883.0,343,12,33,2,45,0.2797156598488451
133,swap,13883.0,343,12,33,2,45,0.2797156598488451
134,mut_micro,13883.0,343,12,33,2,45,0.2797156598488451
135,swap,13883.0,343,12,33,2,45,0.2797156598488451
136,swap,13883.0,343,12,33,2,45,0.2797156598488451
137,swap,13883.0,343,12,33,2,45,0.2797156598488451
138,swap,13883.0,343,12,33,2,45,0.2797156598488451
139,swap,13883.0,343,12,33,2,45,0.2797156598488451
140,swap,13883.0,343,12,33,2,45,0.2797156598488451
141,swap,13883.0,343,12,33,2,45,0.2797156598488451
142,swap,13883.0,343,12,33,2,45,0.2797156598488451
143,swap,13883.0,343,12,33,2,45,0.2797156598488451
144,swap,13883.0,343,12,33,2,45,0.2797156598488451
145,swap,13883.0,343,12,33,2,45,0.2797156598488451
146,swap,13883.0,343,12,33,2,45,0.2797156598488451
147,reassign,13883.0,343,12,33,2,45,0.2797156598488451
148,swap,13883.0,343,12,33,2,45,0.2797156598488451
149,swap,13883.0,343,12,33,2,45,0.2797156598488451
