iter,op,fitness_score,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini
1,swap,26275.0,335,24,62,7,86,0.2543069998447929
2,reassign,26275.0,335,24,62,7,86,0.2543069998447929
3,mut_micro,25974.0,334,24,61,7,85,0.25438596491228066
4,mut_micro,25974.0,334,24,61,7,85,0.25438596491228066
5,swap,25974.0,334,24,61,7,85,0.25438596491228066
6,mut_micro,25678.0,338,25,59,7,84,0.25610137672090144
7,mut_micro,25677.0,337,26,58,7,84,0.25440786394133225
8,mut_micro,25677.0,337,26,58,7,84,0.25440786394133225
9,mut_micro,25677.0,337,26,58,7,84,0.25440786394133225
10,mut_micro,25677.0,337,26,58,7,84,0.25440786394133225
11,mut_micro,25674.0,334,26,58,7,84,0.25438596491228066
12,mut_micro,25674.0,334,26,58,7,84,0.25438596491228066
13,mut_micro,25674.0,334,26,58,7,84,0.25438596491228066
14,mut_micro,25050.0,330,24,58,6,82,0.2525020424836602
15,mut_micro,24133.0,333,23,56,5,79,0.25266327003242267
16,mut_micro,24133.0,333,23,56,5,79,0.25266327003242267
17,reassign,24133.0,333,23,56,5,79,0.25266327003242267
18,mut_micro,24133.0,333,23,56,5,79,0.25266327003242267
19,mut_micro,23832.0,332,23,55,5,78,0.2508982650651882
20,mut_micro,23832.0,332,23,55,5,78,0.2508982650651882
21,mut_micro,23832.0,332,23,55,5,78,0.2508982650651882
22,mut_micro,23832.0,332,23,55,5,78,0.2508982650651882
23,mut_micro,23832.0,332,23,55,5,78,0.2508982650651882
24,mut_micro,23832.0,332,23,55,5,78,0.2508982650651882
25,mut_micro,23210.0,330,22,54,4,76,0.24637459150326793
26,mut_micro,23210.0,330,22,54,4,76,0.24637459150326793
27,mut_micro,23210.0,330,22,54,4,76,0.24637459150326793
28,mut_micro,22894.0,334,20,55,3,75,0.24814241486068112
29,mut_micro,22894.0,334,20,55,3,75,0.24814241486068112
30,mut_micro,22894.0,334,20,55,3,75,0.24814241486068112
31,mut_micro,22894.0,334,20,55,3,75,0.24814241486068112
32,mut_micro,22894.0,334,20,55,3,75,0.24814241486068112
33,mut_micro,22597.0,337,20,54,3,74,0.2479585998855774
34,mut_micro,21681.0,341,18,53,2,71,0.2494086106292383
35,mut_micro,21378.0,338,18,52,2,70,0.24692323738005856
36,mut_micro,21062.0,342,18,51,1,69,0.24831330381614997
37,mut_micro,21062.0,342,18,51,1,69,0.24831330381614997
38,mut_micro,21062.0,342,18,51,1,69,0.24831330381614997
39,mut_micro,21062.0,342,18,51,1,69,0.24831330381614997
40,mut_micro,21062.0,342,18,51,1,69,0.24831330381614997
41,mut_micro,21062.0,342,18,51,1,69,0.24831330381614997
42,swap,21062.0,342,18,51,1,69,0.24831330381614997
43,mut_micro,21061.0,341,18,51,1,69,0.2494086106292383
44,mut_micro,21059.0,339,18,51,1,69,0.24870588235294128
45,mut_micro,20760.0,340,18,50,1,68,0.2476145538429275
46,mut_micro,20760.0,340,18,50,1,68,0.2476145538429275
47,mut_micro,20760.0,340,18,50,1,68,0.2476145538429275
48,mut_micro,20756.0,336,18,50,1,68,0.24224504616661494
49,mut_micro,20756.0,336,18,50,1,68,0.24224504616661494
50,mut_micro,20756.0,336,18,50,1,68,0.24224504616661494
51,swap,20460.0,340,18,49,1,67,0.2476145538429275
52,swap,20164.0,344,18,48,1,66,0.2558558558558559
53,mut_micro,20164.0,344,18,48,1,66,0.2558558558558559
54,swap,20164.0,344,18,48,1,66,0.2558558558558559
55,swap,20164.0,344,18,48,1,66,0.2558558558558559
56,swap,20164.0,344,18,48,1,66,0.2558558558558559
57,swap,20164.0,344,18,48,1,66,0.2558558558558559
58,swap,19869.0,349,18,47,1,65,0.2599247918345421
59,swap,19869.0,349,18,47,1,65,0.2599247918345421
60,swap,19574.0,354,18,46,1,64,0.26966230936819174
61,swap,19574.0,354,18,46,1,64,0.26966230936819174
62,swap,19574.0,354,18,46,1,64,0.26966230936819174
63,swap,19574.0,354,18,46,1,64,0.26966230936819174
64,swap,18981.0,361,18,44,1,62,0.274037660389935
65,swap,18689.0,369,18,43,1,61,0.28266552998010797
66,swap,18689.0,369,18,43,1,61,0.28266552998010797
67,swap,18689.0,369,18,43,1,61,0.28266552998010797
68,swap,18689.0,369,18,43,1,61,0.28266552998010797
69,mut_micro,18689.0,369,18,43,1,61,0.28266552998010797
70,swap,18689.0,369,18,43,1,61,0.28266552998010797
71,swap,18689.0,369,18,43,1,61,0.28266552998010797
72,swap,18394.0,374,18,42,1,60,0.29186851211072673
73,swap,18394.0,374,18,42,1,60,0.29186851211072673
74,swap,18394.0,374,18,42,1,60,0.29186851211072673
75,swap,18392.0,372,18,42,1,60,0.28958834995986715
76,swap,18392.0,372,18,42,1,60,0.28958834995986715
77,swap,18392.0,372,18,42,1,60,0.28958834995986715
78,swap,18392.0,372,18,42,1,60,0.28958834995986715
79,swap,18392.0,372,18,42,1,60,0.28958834995986715
80,swap,18392.0,372,18,42,1,60,0.28958834995986715
81,swap,18392.0,372,18,42,1,60,0.28958834995986715
82,swap,18392.0,372,18,42,1,60,0.28958834995986715
83,swap,18098.0,378,18,41,1,59,0.299311391223156
84,reassign,18098.0,378,18,41,1,59,0.299311391223156
85,swap,18098.0,378,18,41,1,59,0.299311391223156
86,swap,18098.0,378,18,41,1,59,0.299311391223156
87,swap,18096.0,376,18,41,1,59,0.29707622694048047
88,swap,18096.0,376,18,41,1,59,0.29707622694048047
89,swap,17799.0,379,18,40,1,58,0.30368744512730467
90,swap,17799.0,379,18,40,1,58,0.30368744512730467
91,swap,17799.0,379,18,40,1,58,0.30368744512730467
92,swap,17799.0,379,18,40,1,58,0.30368744512730467
93,swap,17799.0,379,18,40,1,58,0.30368744512730467
94,swap,17799.0,379,18,40,1,58,0.30368744512730467
95,swap,17799.0,379,18,40,1,58,0.30368744512730467
96,swap,17799.0,379,18,40,1,58,0.30368744512730467
97,swap,17799.0,379,18,40,1,58,0.30368744512730467
98,swap,17799.0,379,18,40,1,58,0.30368744512730467
99,swap,17799.0,379,18,40,1,58,0.30368744512730467
100,swap,17799.0,379,18,40,1,58,0.30368744512730467
101,swap,17799.0,379,18,40,1,58,0.30368744512730467
102,swap,17799.0,379,18,40,1,58,0.30368744512730467
103,swap,17799.0,379,18,40,1,58,0.30368744512730467
104,swap,17799.0,379,18,40,1,58,0.30368744512730467
105,swap,17799.0,379,18,40,1,58,0.30368744512730467
106,swap,17799.0,379,18,40,1,58,0.30368744512730467
107,swap,17799.0,379,18,40,1,58,0.30368744512730467
108,swap,17799.0,379,18,40,1,58,0.30368744512730467
109,swap,17799.0,379,18,40,1,58,0.30368744512730467
110,reassign,17500.0,380,17,40,1,57,0.3061524010801926
111,reassign,17500.0,380,17,40,1,57,0.3061524010801926
112,reassign,17497.0,377,17,40,1,57,0.3013614941525572
113,reassign,17497.0,377,17,40,1,57,0.3013614941525572
114,swap,17497.0,377,17,40,1,57,0.3013614941525572
115,swap,17497.0,377,17,40,1,57,0.3013614941525572
116,reassign,17497.0,377,17,40,1,57,0.3013614941525572
117,swap,17201.0,381,17,39,1,56,0.3085732791615146
118,swap,17201.0,381,17,39,1,56,0.3085732791615146
119,swap,17201.0,381,17,39,1,56,0.3085732791615146
120,swap,17201.0,381,17,39,1,56,0.3085732791615146
121,swap,16906.0,386,17,38,1,55,0.31533955045432815
122,swap,16906.0,386,17,38,1,55,0.31533955045432815
123,swap,16906.0,386,17,38,1,55,0.31533955045432815
124,swap,16906.0,386,17,38,1,55,0.31533955045432815
125,swap,16906.0,386,17,38,1,55,0.31533955045432815
126,reassign,16906.0,386,17,38,1,55,0.31533955045432815
127,swap,16906.0,386,17,38,1,55,0.31533955045432815
128,swap,16906.0,386,17,38,1,55,0.31533955045432815
129,swap,16906.0,386,17,38,1,55,0.31533955045432815
130,swap,16903.0,383,17,38,1,55,0.31606539896925545
131,swap,16903.0,383,17,38,1,55,0.31606539896925545
132,reassign,16903.0,383,17,38,1,55,0.31606539896925545
133,swap,16903.0,383,17,38,1,55,0.31606539896925545
134,swap,16903.0,383,17,38,1,55,0.31606539896925545
135,swap,16903.0,383,17,38,1,55,0.31606539896925545
136,mut_micro,16624.0,384,17,37,2,54,0.3158051099227569
137,swap,16624.0,384,17,37,2,54,0.3158051099227569
138,swap,16624.0,384,17,37,2,54,0.3158051099227569
139,swap,16624.0,384,17,37,2,54,0.3158051099227569
140,swap,16624.0,384,17,37,2,54,0.3158051099227569
141,swap,16624.0,384,17,37,2,54,0.3158051099227569
142,swap,16624.0,384,17,37,2,54,0.3158051099227569
143,swap,16624.0,384,17,37,2,54,0.3158051099227569
144,swap,16624.0,384,17,37,2,54,0.3158051099227569
145,mut_micro,16624.0,384,17,37,2,54,0.3158051099227569
146,swap,16328.0,388,17,36,2,53,0.3201010465535907
147,swap,16328.0,388,17,36,2,53,0.3201010465535907
