fitness_score,capacity_viol,seed,gini_satisfaction,alloc_csv,top1_pct,cx_ops,repair_per_op,run_id,elitism,patience,dataset_hash,conv_csv,timestamp,tag,cx_prob,top3_pct,mut_ops,mut_prob,under_cap,init_strategy,iterations,runtime_sec,total_violations,elig_viol,pop_size,avg_rank,pref_penalty,repair_calls,tag_label
20000.0,22,128,0.2795952605641186,20250819T235913Z_ga_alloc_20250819T235913Z.csv,23.52941176470588,1403,1.4968130311614731,20250819T235913Z,1,30,b650cee7,convergence_ga_ga_random_20250819T235913Z.csv,2025-08-19T23:59:13Z,ga_random,0.8,53.92156862745098,1421,0.4,8,random,30,86.54941820001113,73,43,120,3.333333333333333,340,4227,Ga Random
21429.0,24,121,0.296078431372549,20250819T234912Z_ga_alloc_20250819T234912Z.csv,22.54901960784314,1418,1.4978932584269662,20250819T234912Z,1,30,b650cee7,convergence_ga_ga_random_20250819T234912Z.csv,2025-08-19T23:49:12Z,ga_random,0.8,50.98039215686274,1430,0.4,4,random,30,79.6788574999955,74,46,120,3.42156862745098,349,4266,Ga Random
21466.0,28,103,0.2937795807978363,20250819T232438Z_ga_alloc_20250819T232438Z.csv,21.5686274509804,1388,1.4967788117394416,20250819T232438Z,1,30,b650cee7,convergence_ga_ga_random_20250819T232438Z.csv,2025-08-19T23:24:38Z,ga_random,0.8,44.11764705882353,1406,0.4,5,random,30,74.56536939999205,75,42,120,3.588235294117647,366,4182,Ga Random
20227.0,21,112,0.2738419618528609,20250819T233722Z_ga_alloc_20250819T233722Z.csv,20.588235294117645,1433,1.5103276353276354,20250819T233722Z,1,30,b650cee7,convergence_ga_ga_random_20250819T233722Z.csv,2025-08-19T23:37:22Z,ga_random,0.8,51.9607843137255,1375,0.4,4,random,30,78.75851290000719,70,45,120,3.4019607843137254,347,4241,Ga Random
20845.0,24,127,0.276449333120782,20250819T235747Z_ga_alloc_20250819T235747Z.csv,20.588235294117645,1447,1.4998272884283248,20250819T235747Z,1,30,b650cee7,convergence_ga_ga_random_20250819T235747Z.csv,2025-08-19T23:57:47Z,ga_random,0.8,54.90196078431373,1448,0.4,5,random,30,87.54753869998967,73,44,120,3.3823529411764706,345,4342,Ga Random
